outer	group	action	C	threshold	inner_ba	inner_brier	coefficient_norm
2025-01-13-17-40-45	state	pick	10.0	0.8	0.53125	0.07700815830754927	2.180760153217002
2025-01-13-17-40-45	state	insert	0.1	0.6	0.7790084388185654	0.12837122022456082	0.6292375416192382
2025-01-13-17-40-45	state	remove	0.1	0.9	0.7520833333333333	0.0768394809181062	0.5072899928991609
2025-01-13-17-40-45	force	pick	10.0	0.15	0.5833333333333334	0.06396806786158901	3.4498806379346574
2025-01-13-17-40-45	force	insert	10.0	0.75	0.6877637130801688	0.16121240164130812	6.383381226045139
2025-01-13-17-40-45	force	remove	10.0	0.55	0.5923611111111111	0.10899124425544726	4.664061768200397
2025-01-13-17-40-45	state_force	pick	0.01	0.95	0.5260416666666666	0.05617352311774868	0.16554154177821748
2025-01-13-17-40-45	state_force	insert	0.1	0.55	0.758175105485232	0.13168132777213307	0.7810430724039633
2025-01-13-17-40-45	state_force	remove	0.1	0.8	0.6909722222222222	0.08239101389581832	0.5730921157684434
2025-01-13-17-40-45	state_force_duration	pick	0.01	0.95	0.53125	0.056194035979662306	0.16541309441818805
2025-01-13-17-40-45	state_force_duration	insert	0.1	0.6	0.7518459915611815	0.1318178179711087	0.7805598848520616
2025-01-13-17-40-45	state_force_duration	remove	0.1	0.8	0.6909722222222222	0.08248217442390508	0.5732955703254426
2025-01-13-17-40-45	state_force_peak	pick	1.0	0.95	0.5833333333333333	0.06275374924571513	1.3747384223826302
2025-01-13-17-40-45	state_force_peak	insert	1.0	0.55	0.758175105485232	0.13537789340042813	1.4276362189272902
2025-01-13-17-40-45	state_force_peak	remove	0.1	0.85	0.7402777777777778	0.0789995544455999	0.5240552833829761
2025-01-13-17-51-11	duration	pick	10.0	0.95	0.578525641025641	0.05295401878402147	0.33929033701153516
2025-01-13-17-51-11	duration	insert	1.0	0.75	0.5611764705882353	0.1748229384882424	0.36574202081928436
2025-01-13-17-51-11	duration	remove	10.0	0.95	0.5063291139240507	0.08819026678955065	0.0318888290741394
2025-01-13-17-51-11	state	pick	0.1	0.975	0.5416666666666667	0.05293157063820819	0.417192819305502
2025-01-13-17-51-11	state	insert	1.0	0.6	0.788235294117647	0.11911891991320879	1.262195056711662
2025-01-13-17-51-11	state	remove	0.1	0.85	0.7056962025316456	0.07518026547025802	0.46976096801449824
2025-01-13-17-51-11	force	pick	10.0	0.15	0.5833333333333334	0.056893582702430036	3.4804701552919455
2025-01-13-17-51-11	force	insert	10.0	0.8	0.7058823529411765	0.15486856040871166	6.486157651203691
2025-01-13-17-51-11	force	remove	10.0	0.85	0.6305379746835442	0.08971448779695447	4.890796824126774
2025-01-13-17-51-11	state_force	pick	0.01	0.5	0.5	0.05220479781693901	0.16960646707817537
2025-01-13-17-51-11	state_force	insert	1.0	0.5	0.7741176470588236	0.11776508825678633	2.226799000331384
2025-01-13-17-51-11	state_force	remove	0.1	0.8	0.6558544303797469	0.07988174399563723	0.537408982093591
2025-01-13-17-51-11	state_force_duration	pick	0.01	0.5	0.5	0.0522216046887001	0.16942663710460945
2025-01-13-17-51-11	state_force_duration	insert	1.0	0.5	0.7741176470588236	0.11787955057680581	2.2248084689159
2025-01-13-17-51-11	state_force_duration	remove	0.1	0.8	0.6558544303797469	0.07998844423226002	0.5375107208055654
